Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565.898626,1585.9303,1764.347074,1930.837478,2068.040516,2233.872605,2356.879714,2483.070106,2610.458255,2789.277502,2866.752031,3091.69129,3395.993116,3642.276894,3871.063952,4197.302665,4561.347676,5476.797771,5780.845171,6139.82066,6878.602685,7498.955522,8140.41451,8233.168784,8949.740967,9839.287269,10866.38476,11619.06451,12218.50735,13061.59027,11802.31593,12795.35177,,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5818.048031,6280.327242,6424.180936,6511.940032,6703.052249,7134.510141,7501.419817,8076.29333,8023.35235,8733.830745,8922.369978,8964.846692,9478.566744,9937.097046,10298.30689,10907.36705,11957.57524,12739.30275,13136.44087,11119.80616,12139.74973,12976.5292,12069.71852,12833.54392,14338.57408,13420.5066,15277.04232,14656.77299,15321.52235,15758.84288,14303.75579,16449.13886,18329.84926,
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.1773245,632.0159695,585.9525806,582.8728009,605.1552947,644.3679787,613.6512745,639.2801578,658.4702554,672.8071176,652.3937607,681.3600112,701.3401453,660.417846,703.377201,715.7262427,757.6183289,798.8360794,813.8320694,870.4223047,902.7815842,945.5931285,1024.247563,683.9656325,670.1038234,733.7495807,787.4711684,839.6000095,875.1937178,898.3153199,895.2514772,924.9108953,973.2462704,
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20229.75587,20224.68733,20626.20206,21440.04699,22632.83409,23485.64193,24050.17501,25258.86056,26319.67416,27841.35335,29362.08416,30230.80297,30963.053,32349.94366,33925.70673,36327.22865,38119.4132,39575.30975,40376.30688,38865.41346,40099.44824,41666.70763,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48317.17458,49992.76228,50522.16024,48380.68443,55634.82758,61380.19839,
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7092.208982,6646.411686,6687.601375,6956.118094,7395.323108,7990.280152,8399.111056,8704.630726,9097.059363,9396.468752,10015.98669,10801.61958,11679.84104,12341.02717,13483.86288,14312.6059,15921.82154,17765.63325,19675.79604,19702.07642,20822.48149,22310.98631,23108.84847,23862.04621,24928.83425,26136.32779,27755.28081,29831.62986,32013.87578,35470.73063,35840.37832,39897.05359,45181.6902,
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28442.3316,28773.01394,29093.32385,29475.75005,30245.37597,30821.43705,31497.74196,32728.01142,33857.65317,34742.63186,36695.20706,37822.92751,38704.95846,38737.30793,40176.57074,41524.84887,46275.54948,50929.4927,53808.78411,52971.37328,54432.33308,57493.58106,59440.91586,61656.46617,63417.04372,65265.04573,67350.75187,68193.50549,70688.81875,73732.23533,72997.82395,81603.20731,90746.45328,
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4437.056414,4872.139615,5533.633213,6026.749841,6473.887265,7250.187669,7959.485925,8581.435643,8927.836822,8921.984572,9468.320071,9876.226612,10239.38464,10820.67288,11735.17646,12685.02796,15676.58451,16875.71258,16550.45052,16118.37606,18104.7256,20330.52734,21584.6817,22425.59172,22779.4281,22691.48436,23492.28803,24546.91248,25564.53756,25853.77015,25464.84993,29148.24052,31436.57725,
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.4192074,1093.566229,1262.025483,1454.491592,1660.34688,1860.525063,2060.8681,2266.728838,2448.482291,2650.178686,2917.24253,3208.229957,3532.081651,3938.730275,4427.131003,5056.404724,5842.778636,6818.923409,7581.453513,8305.760185,9254.779604,10292.94048,11168.6973,11872.49738,12480.33853,12897.50229,13483.37727,14243.53261,15497.82574,16655.39936,17209.44295,19484.48616,21482.56218,
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.253537,2744.91063,2698.279466,2657.932273,2640.380552,2787.38002,2952.262367,3180.317303,3242.547529,3227.520171,3202.951743,3121.727849,3007.357264,2852.020434,2952.041262,3005.998332,3116.371153,3166.671537,3310.47535,3379.412565,3577.706982,3384.930979,3483.689789,3801.616471,4254.230896,4579.85146,4693.675045,4836.048367,5060.59743,5350.010141,5377.394446,5866.495758,6540.462355,
